site_index,English_Quote,Persian_Quote,Prise_Writer
14025,One of Faulkner’s comic masterpieces.,از شاهکارهای کمیک فاکنر,barnes and noble
1806,An engrossing forecast.,یک پیش بینی هیجان انگیز.,Publishers Weekly
1806,"Original, accessible, and provocative.",بدیع، قابل فهم و برانگیزاننده.,Science
1806,"A compelling guide to the challenges and choices in our quest for a future of life, intelligence and consciousness—on Earth and beyond.",راهنمایی جذاب برای چالش ها و انتخاب های پیش روی ما در تلاش برای رسیدن به آینده ی زندگی، هوش و آگاهی-روی زمین و ورای آن.,Elon Musk
63869,Convincing and compelling.,باورپذیر و مهیج.,School Library Journal
63869,"A highly imaginative, absolutely terrific first novel.",یک رمان نخست فوق العاده خیال پردازانه و شگرف.,Barnes & Noble
63869,"An exciting, clever read.",داستانی هیجان انگیز و هوشمندانه.,Booktopia
1459,An interesting and ambitious book.,کتابی جذاب و بلندپروازانه.,The New York Times Book Review
1459,It gives you the insight to recognise the underlying motivations behind your actions and better understand your own psychology.,این اثر، خرد لازم برای درک انگیزه های نهفته در پشت کارهایتان و درک بهتر روانشناسی خودتان را به شما می دهد.,Penguin
836,"Brilliantly impassioned, and accessible.",به شکل درخشانی پرشور و قابل فهم.,Goodreads
836,A must-read for anyone looking to achieve their personal best.,اثری ضروری برای هر کسی که به دنبال دستیابی به بهترین نوع از شخصیت خود است.,People
836,"Filled with stories about achieving greater mindfulness, successfully coping with stress, and being present to immediate moments.",سرشار از داستان هایی درباره ی دستیابی به ذهن آگاهی برتر، مواجهه ی موفقیت آمیز با اضطراب و حضور داشتن در لحضه های کنونی.,
10985,This stunning work showcases Krauss's consistent talent.,این اثر خیره کننده، نشان دهنده ی استعداد همیشگی «کراوس» است.,Publishers Weekly
10985,"Masterful, evocative and moving.",استادانه، احساس برانگیز و تکان دهنده.,NPR
10985,A meditation on memory and loss.,تأملی بر خاطره و فقدان.,Los Angeles Times
14898,"“This novel is bursting with conspiracy and subterfuge and a raw exposition of the ugliness that can inhabit the human soul. Like detectives Pia Kirchhoff and Oliver von Bodenstein, readers won't stop until the shocking ending is finally revealed.",این رمان با توطئه و فرومایگی و نمایش زشتی که می تواند در روح انسان وجود داسته باشد ، در ارتباط است. مانند کارآگاهان پیا کیرخوف و الیور فون بدنشتاین ، شما تا زمانی ماجرا فاش نشود نمیتوانید کتاب را زمین بگذارید.,USA Today
14898,Snow White Must Die... has been a bestseller in Europe. It's easy to see why. Nele Neuhaus has a flair for the ominous and the ornate.,"کتاب ""سفید برفی باید بمیرد"" از کتاب های پرفروش در اروپا بوده است. به راحتی می توان فهمید که چرا.نله نویهاوس در آراستن واژگان استعداد فراوانی دارد.",The Washington Post
14898,"It keep readers turning the pages up to the unpredictable ending...an addictively engaging mystery filled with suspects, confusion, love, and fear. Sure to intrigue and satisfy mystery fans, especially those who love international crime procedurals",این کتاب خواننده را در وضعیتی غیر قابل پیشبینی قرار میدهد. یک موضوع اعتیاد آور و جذاب پر از مظنونین ، گیجی ، عشق و ترس. مطمئنا برای علاقمندان به رمان جنایی بسیار جذاب خواهد بود.,Library Journal
1863,"[A] lovely, lilting meditation on memory and loss in mid-20th century Paris . . . [a] resonant novel.",تأملی دوست داشتنی و خوش آهنگ بر خاطرات و فقدان در میانه قرن بیستم در پاریس ... رمانی پرطنین.,"Nathan Goldman, Literary Hub"
1863,A dream-like detective tale set in Paris . . . [A] darkly evocative novel of one man's troubling past.,یک داستان پلیسی رویاگونه در پاریس ... رمانی تاریک از گذشته هراسناک یک مرد.,"Michael Autrey, Booklist"
252,Plotted with verve and written with passion.,با داستانی سرزنده و نگارشی پرشور.,Kirkus Reviews
252,Magnificent.,باشکوه.,Guardian
252,"A lively, gripping book.",کتابی پرنشاط و هیجان انگیز.,Independent
14141,"An extraordinary book about ordinary crime, written with suspense, insight, and beautiful precision by an experienced defense attorney. An authentic thriller.",کتابی خارق العاده درباره ی جرم های معمولی که با تعلیق ، بینش و دقتی بسیار عالی توسط یک وکیل مدافع باتجربه نوشته شده است. یک تریلر اصیل.,"Bernhard Schlink, author of The Reader"
14141,"Von Schirach guides us through the unpredictable sequences of events that can maneuver regular, flawed people into unbearable positions, leading them to abhorrent acts.",فن شیراخ از طریق سلسله حوادثی غیرقابل پیشبینی به ما نشان می دهد که چگونه انسانی معمولی اگر در چنین شرایط غیرقابل تحملی قرار بگیرد چگون به اعمال خلاف و شنیع دست می زند... او استعدادی خیره کننده دارد.,New York Times Book Review
12778,An addictive page-turner.,یک اثر جذاب اعتیاد آور.,Los Angeles Times
12778,Not to be missed.,نباید این اثر را از دست داد.,The Globe and Mail
12778,Nesbø’s most realistic and most affecting novel.,واقع گرایانه ترین و تأثیرگذارترین رمان نسبو.,The Columbus Dispatch
36552,"This is an excellent well-illustrated survey of an important period, useful for students and a general readership alike. It deals not only with military matters, but also more broadly with political developments in Persia.",این یک نظرسنجی ممتازبا تصویرسازی عالی از یک دوره مهم است که برای دانشجویان و عموم خوانندگان مفید است. این کتاب نه تنها به مسائل نظامی بلکه به طور گسترده تری به تحولات سیاسی در ایران می پردازد.,"Geoffrey Greatrex, University of Ottawa"
36552,"This beautifully illustrated book will no doubt serve as a useful companion for all those interested in the military history of the pre-Islamic Middle East... Useful maps, photography and color plates make this a handsome and desirable volume; it will be of interest to students and scholars alike.",این کتاب با تصویرسازی زیبای خود بدون شک یک همراه مفید برای همه علاقه مندان به تاریخ نظامی خاورمیانه قبل از اسلام خواهد بود ... نقشه های مفید ، عکاسی و صفحات رنگی این مجلد را زیبا و مطلوب می کند. برای دانشجویان و دانش پژوهان به طور یکسان جالب خواهد بود.,"Lloyd Llewellyn-Jones, University of Edinburgh"
36552,"In this beautifully illustrated book, Dr. Kaveh Farrokh narrates the history of Persia from before the first empires, through their wars with East and west to the fall of the Sassanians.",در این کتاب با تصویرسازی زیبا ، دکتر کاوه فرخ تاریخ ایران را از قبل از اولین امپراتوری ها ، از طریق جنگ های آنها با شرق و غرب تا سقوط ساسانیان روایت می کند.,Paul Houston
29372,"Charming, fascinating and very funny. If you've ever wondered how to turn an idea into a global household name - or what happens when you try - Marc Randolph will demystify the world of Silicon Valley start-ups, and make you laugh a lot along the way",[کتابی] دلربا، جذاب و بسیار مسرت بخش اگر تا به حال به این فکر افتاده اید که چگونه ایده ای را به یک نام خانوادگی جهانی تبدیل کنید، یا اگر سعی کنید ممکن است چه اتفاقی بی افتد- مارک راندولف راز دنیای استارت آپ های دره سیلیکون ولی را روشن می کند و در طول مسیر، شما را بسیار به خنده وا می دارد.,"Decca Aitkenhead, Sunday Times"
29372,A charming first-person account of the early days of one of the most successful tech start-ups ever. An engaging read that will engross any would-be entrepreneur,روایتی جذاب که با زاویه دید اول شخص گفته می شود از روزهای ابتدایی یکی از موفق ترین استارت آپ های فناوری تاکنون. خوانشی جذاب که هر کارآفرین احتمالی را درگیر خود می کند.,The Washington Post
